Category: All categories

Week,Blog: (Worldwide),Tumblr: (Worldwide),Wordpress: (Worldwide),Livejournal: (Worldwide)
2018-07-22,57,99,22,<1
2018-07-29,60,99,21,<1
2018-08-05,60,96,22,<1
2018-08-12,56,97,21,<1
2018-08-19,58,99,21,<1
2018-08-26,53,93,21,<1
2018-09-02,58,90,21,<1
2018-09-09,59,86,22,<1
2018-09-16,58,86,23,<1
2018-09-23,56,90,22,<1
2018-09-30,56,82,21,<1
2018-10-07,55,85,21,<1
2018-10-14,54,82,22,<1
2018-10-21,55,84,22,<1
2018-10-28,55,77,20,<1
2018-11-04,54,82,20,<1
2018-11-11,56,83,22,<1
2018-11-18,55,86,20,<1
2018-11-25,55,85,21,<1
2018-12-02,56,100,22,<1
2018-12-09,52,79,21,<1
2018-12-16,53,82,20,<1
2018-12-23,50,71,15,<1
2018-12-30,53,68,17,<1
2019-01-06,55,60,21,<1
2019-01-13,55,61,21,<1
2019-01-20,53,57,20,<1
2019-01-27,54,57,21,<1
2019-02-03,54,58,22,<1
2019-02-10,57,54,21,<1
2019-02-17,55,52,20,<1
2019-02-24,52,50,21,<1
2019-03-03,53,51,22,<1
2019-03-10,53,48,21,<1
2019-03-17,54,50,21,<1
2019-03-24,52,48,21,<1
2019-03-31,53,49,20,<1
2019-04-07,52,46,21,<1
2019-04-14,50,50,19,<1
2019-04-21,50,48,18,<1
2019-04-28,49,47,19,<1
2019-05-05,52,45,20,<1
2019-05-12,53,47,20,<1
2019-05-19,52,47,20,<1
2019-05-26,53,48,20,<1
2019-06-02,51,47,20,<1
2019-06-09,52,48,20,<1
2019-06-16,50,50,20,<1
2019-06-23,50,47,20,<1
2019-06-30,51,47,19,<1
2019-07-07,50,46,20,<1
2019-07-14,50,50,20,<1
2019-07-21,49,48,18,<1
2019-07-28,49,44,19,<1
2019-08-04,49,45,19,<1
2019-08-11,50,47,19,<1
2019-08-18,52,46,20,<1
2019-08-25,52,43,19,<1
2019-09-01,52,43,20,<1
2019-09-08,52,42,20,<1
2019-09-15,50,41,20,<1
2019-09-22,51,39,20,<1
2019-09-29,51,38,20,<1
2019-10-06,53,38,20,<1
2019-10-13,51,38,20,<1
2019-10-20,52,35,19,<1
2019-10-27,50,38,18,<1
2019-11-03,54,34,18,<1
2019-11-10,48,39,19,<1
2019-11-17,50,37,20,<1
2019-11-24,48,36,18,<1
2019-12-01,47,36,18,<1
2019-12-08,43,35,17,<1
2019-12-15,47,39,18,<1
2019-12-22,46,40,14,<1
2019-12-29,46,40,16,<1
2020-01-05,47,36,19,<1
2020-01-12,50,37,20,<1
2020-01-19,49,36,20,<1
2020-01-26,49,34,19,<1
2020-02-02,48,34,19,<1
2020-02-09,48,35,20,<1
2020-02-16,50,33,21,<1
2020-02-23,48,34,20,<1
2020-03-01,48,33,20,<1
2020-03-08,48,30,19,<1
2020-03-15,54,36,20,<1
2020-03-22,56,37,21,<1
2020-03-29,56,40,22,<1
2020-04-05,53,37,22,<1
2020-04-12,53,38,23,<1
2020-04-19,58,38,23,<1
2020-04-26,54,36,23,<1
2020-05-03,53,35,22,<1
2020-05-10,53,35,22,<1
2020-05-17,51,34,21,<1
2020-05-24,50,35,22,<1
2020-05-31,50,35,22,<1
2020-06-07,50,35,22,<1
2020-06-14,49,31,22,<1
2020-06-21,49,35,22,<1
2020-06-28,47,33,21,<1
2020-07-05,49,33,21,<1
2020-07-12,47,34,20,<1
2020-07-19,46,32,21,<1
2020-07-26,46,30,20,<1
2020-08-02,46,32,21,<1
2020-08-09,46,31,21,<1
2020-08-16,43,30,21,<1
2020-08-23,45,29,21,<1
2020-08-30,45,29,21,<1
2020-09-06,46,29,21,<1
2020-09-13,44,28,20,<1
2020-09-20,43,30,20,<1
2020-09-27,43,26,18,<1
2020-10-04,42,26,18,<1
2020-10-11,41,26,17,<1
2020-10-18,43,26,16,<1
2020-10-25,42,26,16,<1
2020-11-01,41,25,15,<1
2020-11-08,42,25,16,<1
2020-11-15,43,25,16,<1
2020-11-22,40,25,15,<1
2020-11-29,41,24,15,<1
2020-12-06,42,25,15,<1
2020-12-13,40,24,15,<1
2020-12-20,38,25,13,<1
2020-12-27,40,28,12,<1
2021-01-03,42,24,15,<1
2021-01-10,42,24,15,<1
2021-01-17,42,24,16,<1
2021-01-24,40,23,15,<1
2021-01-31,42,24,15,<1
2021-02-07,41,24,16,<1
2021-02-14,41,24,15,<1
2021-02-21,40,23,15,<1
2021-02-28,41,22,15,<1
2021-03-07,39,21,15,<1
2021-03-14,41,21,15,<1
2021-03-21,41,21,15,<1
2021-03-28,41,22,14,<1
2021-04-04,40,22,15,<1
2021-04-11,40,21,15,<1
2021-04-18,42,22,16,<1
2021-04-25,40,22,15,<1
2021-05-02,43,21,14,<1
2021-05-09,41,22,15,<1
2021-05-16,40,22,14,<1
2021-05-23,40,21,15,<1
2021-05-30,41,21,15,<1
2021-06-06,40,21,14,<1
2021-06-13,38,21,14,<1
2021-06-20,40,20,14,<1
2021-06-27,38,20,13,<1
2021-07-04,38,19,13,<1
2021-07-11,38,20,14,<1
2021-07-18,38,20,13,<1
2021-07-25,38,19,13,<1
2021-08-01,37,19,13,<1
2021-08-08,37,19,13,<1
2021-08-15,38,19,13,<1
2021-08-22,37,19,13,<1
2021-08-29,37,18,13,<1
2021-09-05,40,18,14,<1
2021-09-12,38,18,14,<1
2021-09-19,38,18,13,<1
2021-09-26,37,17,14,<1
2021-10-03,37,18,14,<1
2021-10-10,36,17,13,<1
2021-10-17,36,16,14,<1
2021-10-24,36,17,14,<1
2021-10-31,36,17,14,<1
2021-11-07,37,16,15,<1
2021-11-14,34,16,15,<1
2021-11-21,34,16,14,<1
2021-11-28,35,16,14,<1
2021-12-05,37,15,14,<1
2021-12-12,35,15,13,<1
2021-12-19,32,17,12,<1
2021-12-26,34,19,12,<1
2022-01-02,38,17,17,<1
2022-01-09,38,15,18,<1
2022-01-16,35,14,17,<1
2022-01-23,36,14,19,<1
2022-01-30,38,15,19,<1
2022-02-06,38,15,18,<1
2022-02-13,38,15,20,<1
2022-02-20,38,14,20,<1
2022-02-27,39,14,18,<1
2022-03-06,39,13,20,<1
2022-03-13,40,15,19,<1
2022-03-20,40,14,19,<1
2022-03-27,40,15,20,<1
2022-04-03,39,14,20,<1
2022-04-10,38,15,18,<1
2022-04-17,37,16,18,<1
2022-04-24,39,14,18,<1
2022-05-01,36,14,16,<1
2022-05-08,37,14,18,<1
2022-05-15,33,13,16,<1
2022-05-22,39,14,18,<1
2022-05-29,34,14,17,<1
2022-06-05,37,13,18,<1
2022-06-12,34,15,17,<1
2022-06-19,39,14,17,<1
2022-06-26,36,13,17,<1
2022-07-03,35,14,16,<1
2022-07-10,38,14,16,<1
2022-07-17,36,14,17,<1
2022-07-24,35,14,17,<1
2022-07-31,36,14,17,<1
2022-08-07,33,13,16,<1
2022-08-14,36,14,17,<1
2022-08-21,36,13,17,<1
2022-08-28,35,13,17,<1
2022-09-04,33,12,17,<1
2022-09-11,33,12,17,<1
2022-09-18,35,13,17,<1
2022-09-25,36,12,17,<1
2022-10-02,34,12,17,<1
2022-10-09,34,12,17,<1
2022-10-16,32,11,17,<1
2022-10-23,32,12,17,<1
2022-10-30,34,13,16,<1
2022-11-06,33,13,16,<1
2022-11-13,34,13,17,<1
2022-11-20,31,12,16,<1
2022-11-27,30,11,16,<1
2022-12-04,31,11,16,<1
2022-12-11,33,12,16,<1
2022-12-18,30,12,15,<1
2022-12-25,30,13,13,<1
2023-01-01,33,13,16,<1
2023-01-08,32,12,18,<1
2023-01-15,34,11,18,<1
2023-01-22,32,12,19,<1
2023-01-29,34,11,19,<1
2023-02-05,33,11,19,<1
2023-02-12,32,11,18,<1
2023-02-19,33,11,18,<1
2023-02-26,36,11,18,<1
2023-03-05,34,10,18,<1
2023-03-12,32,11,17,<1
2023-03-19,34,10,17,<1
2023-03-26,32,10,18,<1
2023-04-02,31,11,17,<1
2023-04-09,31,10,16,<1
2023-04-16,30,10,17,<1
2023-04-23,31,10,17,<1
2023-04-30,32,10,16,<1
2023-05-07,31,11,17,<1
2023-05-14,30,10,16,<1
2023-05-21,31,10,17,<1
2023-05-28,31,10,16,<1
2023-06-04,32,10,18,<1
2023-06-11,31,11,16,<1
2023-06-18,29,10,16,<1
2023-06-25,30,10,16,<1
2023-07-02,29,11,15,<1
2023-07-09,31,10,18,<1
